"State","Region","Quarter","Trips"
"ACT","Canberra",1998 Q1,551.0019215
"ACT","Canberra",1998 Q2,416.0256229
"ACT","Canberra",1998 Q3,436.0290111
"ACT","Canberra",1998 Q4,449.7984449
"ACT","Canberra",1999 Q1,378.5728168
"ACT","Canberra",1999 Q2,558.1781421
"ACT","Canberra",1999 Q3,448.9011959
"ACT","Canberra",1999 Q4,594.8254416
"ACT","Canberra",2000 Q1,599.6685405
"ACT","Canberra",2000 Q2,557.1350565
"ACT","Canberra",2000 Q3,440.014404
"ACT","Canberra",2000 Q4,494.3794403
"ACT","Canberra",2001 Q1,390.5585053
"ACT","Canberra",2001 Q2,618.3817192
"ACT","Canberra",2001 Q3,547.0308725
"ACT","Canberra",2001 Q4,532.9224989
"ACT","Canberra",2002 Q1,448.5023296
"ACT","Canberra",2002 Q2,547.3487151
"ACT","Canberra",2002 Q3,456.0747018
"ACT","Canberra",2002 Q4,521.8702608
"ACT","Canberra",2003 Q1,378.3359674
"ACT","Canberra",2003 Q2,445.8927944
"ACT","Canberra",2003 Q3,540.2099477
"ACT","Canberra",2003 Q4,580.2372875
"ACT","Canberra",2004 Q1,492.1420875
"ACT","Canberra",2004 Q2,483.4514891
"ACT","Canberra",2004 Q3,423.895311
"ACT","Canberra",2004 Q4,481.6144989
"ACT","Canberra",2005 Q1,517.943977
"ACT","Canberra",2005 Q2,478.3716377
"ACT","Canberra",2005 Q3,567.7718328
"ACT","Canberra",2005 Q4,423.1984857
"ACT","Canberra",2006 Q1,447.954057
"ACT","Canberra",2006 Q2,549.934874
"ACT","Canberra",2006 Q3,454.971657
"ACT","Canberra",2006 Q4,439.928099
"ACT","Canberra",2007 Q1,495.2575015
"ACT","Canberra",2007 Q2,476.0196173
"ACT","Canberra",2007 Q3,522.7008033
"ACT","Canberra",2007 Q4,461.2946227
"ACT","Canberra",2008 Q1,474.2389539
"ACT","Canberra",2008 Q2,482.6558127
"ACT","Canberra",2008 Q3,529.4967269
"ACT","Canberra",2008 Q4,469.8417872
"ACT","Canberra",2009 Q1,492.5085958
"ACT","Canberra",2009 Q2,396.7498381
"ACT","Canberra",2009 Q3,410.155343
"ACT","Canberra",2009 Q4,427.8557966
"ACT","Canberra",2010 Q1,616.8147952
"ACT","Canberra",2010 Q2,554.7184194
"ACT","Canberra",2010 Q3,443.8238545
"ACT","Canberra",2010 Q4,465.308936
"ACT","Canberra",2011 Q1,380.9004104
"ACT","Canberra",2011 Q2,447.5480258
"ACT","Canberra",2011 Q3,495.3907949
"ACT","Canberra",2011 Q4,475.5482877
"ACT","Canberra",2012 Q1,446.9045524
"ACT","Canberra",2012 Q2,456.8019655
"ACT","Canberra",2012 Q3,521.8367105
"ACT","Canberra",2012 Q4,511.7660629
"ACT","Canberra",2013 Q1,524.5535626
"ACT","Canberra",2013 Q2,475.5325021
"ACT","Canberra",2013 Q3,506.5120901
"ACT","Canberra",2013 Q4,529.5845085
"ACT","Canberra",2014 Q1,540.6075197
"ACT","Canberra",2014 Q2,586.8275308
"ACT","Canberra",2014 Q3,606.2121422
"ACT","Canberra",2014 Q4,526.9391092
"ACT","Canberra",2015 Q1,566.1354626
"ACT","Canberra",2015 Q2,516.8703428
"ACT","Canberra",2015 Q3,688.2031884
"ACT","Canberra",2015 Q4,597.2455694
"ACT","Canberra",2016 Q1,625.1416344
"ACT","Canberra",2016 Q2,592.6084987
"ACT","Canberra",2016 Q3,572.4370928
"ACT","Canberra",2016 Q4,667.214141
"ACT","Canberra",2017 Q1,634.3687469
"ACT","Canberra",2017 Q2,748.2904309
"ACT","Canberra",2017 Q3,631.7599043
"ACT","Canberra",2017 Q4,720.3293701
"New South Wales","Blue Mountains",1998 Q1,195.5431795
"New South Wales","Blue Mountains",1998 Q2,200.4086711
"New South Wales","Blue Mountains",1998 Q3,253.3596887
"New South Wales","Blue Mountains",1998 Q4,245.5738456
"New South Wales","Blue Mountains",1999 Q1,290.4841243
"New South Wales","Blue Mountains",1999 Q2,294.8029642
"New South Wales","Blue Mountains",1999 Q3,247.5735664
"New South Wales","Blue Mountains",1999 Q4,241.5535459
"New South Wales","Blue Mountains",2000 Q1,196.9729266
"New South Wales","Blue Mountains",2000 Q2,233.539374
"New South Wales","Blue Mountains",2000 Q3,281.8859046
"New South Wales","Blue Mountains",2000 Q4,158.3534373
"New South Wales","Blue Mountains",2001 Q1,180.0839939
"New South Wales","Blue Mountains",2001 Q2,167.6169955
"New South Wales","Blue Mountains",2001 Q3,199.1885057
"New South Wales","Blue Mountains",2001 Q4,150.3931288
"New South Wales","Blue Mountains",2002 Q1,177.9131054
"New South Wales","Blue Mountains",2002 Q2,249.9479472
"New South Wales","Blue Mountains",2002 Q3,206.6805385
"New South Wales","Blue Mountains",2002 Q4,174.1723265
"New South Wales","Blue Mountains",2003 Q1,127.9166736
"New South Wales","Blue Mountains",2003 Q2,144.7850695
